name,*log_k2.y1,conc_mM.par1,status,class
14BDL,-1.03113907,0.5,1,Ol
14BDL,-1.188396222,0.99,1,Ol
14BDL,-1.372201522,1.5,1,Ol
15PDL,-0.441238838,0.49,1,Ol
15PDL,-0.922998125,2,1,Ol
15PDL,-0.854875057,2,1,Ol
15PDL,-1.795018136,0.5,1,Ol
15PDL,-1.570784123,0.99,1,Ol
15PDL,-1.584055422,1.5,1,Ol
2MOEL,-0.855954069,0.5,1,Ol
2MOEL,-1.094579934,0.99,1,Ol
2MOEL,-1.293250954,1.5,1,Ol
AclAcK,-0.728092734,1,1,ketone
AclAcK,-0.858485579,1.51,1,ketone
BDME,-0.623555128,0.49,1,ether
BDME,-0.902241359,1,1,ether
BDME,-1.047207485,1.51,1,ether
BuOH,-0.646053323,0.49,1,Ol
BuOH,-0.932721653,1,1,Ol
BuOH,-1.045891255,1.51,1,Ol
CPME,-0.823711765,0.5,1,ether
CPME,-1.109225931,0.99,1,ether
CPME,-1.416884006,1.5,1,ether
CyrK,-0.30388736,0.49,1,ketone
CyrK,-0.592587272,1.51,1,ketone
CyrK,-0.592587272,1.51,1,ketone
DEG,-0.590482726,0.49,1,Ol
DEG,-1.404040439,1,1,Ol
DEG,-1.339307701,1.51,1,Ol
DEGDE,-0.533244405,0.5,1,ether
DEGDE,-0.620801112,0.99,1,ether
DEGDE,-0.802598251,1.5,1,ether
DMA,-0.907948955,0.5,1,amide
DMA,-0.906348898,1,1,amide
DMC,-2.098692524,1,1,carbonate
DMC,-2.098692524,1,1,carbonate
DMC,-2.716228582,2,1,carbonate
DME,-2.055976615,2,1,ether
DMF,-1.742886258,0.5,1,amide
DMF,-1.746074928,1,1,amide
DMSO,-1.002525071,0.5,1,S=O
DMSO,-1.135774451,1,1,S=O
DMTFA,-1.534925377,0.49,1,amide
DMTFA,-1.750474186,1,1,amide
DOL,-1.76447858,0.49,1,ether
DOL,-2.243229827,1,1,ether
DOX,-1.668505096,1,1,ether
DOX,-1.834072996,2,1,ether
EG,-1.536799574,0.5,1,Ol
EG,-1.444350773,0.99,1,Ol
EG,-1.603262921,1.5,1,Ol
EGDBE,-0.156210531,0.5,1,ether
EGDBE,-0.581764436,0.99,1,ether
EGDBE,-1.196101273,1.5,1,ether
EGHE,-0.577430049,0.49,1,ether
EGHE,-0.408865859,0.49,1,ether
EGHE,-0.627044044,1,1,ether
EGHE,-0.686657744,1.51,1,ether
ES,-1.126524107,0.5,1,S=O
ES,-1.788391973,0.99,1,S=O
ES,-2.132189513,1.5,1,S=O
ETFAc,-1.074408289,0.49,1,fluoro-ester
ETFAc,-1.353541458,1,1,fluoro-ester
ETFAc,-1.68349173,1.51,1,fluoro-ester
H2O,-2.213727564,0.5,1,Ol
H2O,-2.205155643,1,1,Ol
HFBL,-1.524142517,0.5,1,fluoro-Ol
HFBL,-1.798082197,0.99,1,fluoro-Ol
HMPA,2.184298626,0.49,1,amide
HMPA,1.704711391,1,1,amide
HMPA,1.426330145,1.51,1,amide
iPrAc,-0.730789718,0.5,1,ester
iPrAc,-1.220134818,0.99,1,ester
iPrAc,-1.686343419,1.5,1,ester
M3OSD,-0.408391421,0.49,1,ether
M3OSD,-0.849252195,1,1,ether
M3OSD,-1.099762983,1.51,1,ether
MeOH,-1.236059082,0.49,1,Ol
MeOH,-1.635263572,1,1,Ol
MPA,-1.258322051,0.49,1,ester
MPA,-1.506160209,1,1,ester
MPA,-2.05230225,1.51,1,ester
MPAm,-0.31487081,1,1,amide
MPAm,-0.662016536,1.51,1,amide
MPAm,1.117507153,0.49,1,amide
MPAm,0.627583041,1,1,amide
MPAm,0.332957783,1.51,1,amide
MTBE,-1.448977593,0.49,1,ether
MTBE,-2.263668786,2,1,ether
nAMOL,-0.454368128,0.49,1,Ol
nAMOL,-0.94853078,1.51,1,Ol
NEtAc,1.005357356,0.49,1,amide
NEtAc,-0.005454199,1,1,amide
NEtAc,0.418553073,1,1,amide
NEtAc,-0.475860778,1.51,1,amide
NEtAc,0.136051578,1.51,1,amide
NMO,-0.440859234,0.49,1,amide
NMO,-1.124149754,1,1,amide
NMO,-1.595275263,1.51,1,amide
NMP,-0.936149824,1,1,amide
NMP,-0.772350318,0.5,1,amide
NMP,-0.974310033,1,1,amide
PST,-0.734024654,0.5,1,S=O
PST,-1.083900953,0.99,1,S=O
PST,-1.488622726,1.5,1,S=O
